"codigo_municipio","total_moradores","total_sexo_masculino","total_sexo_feminino","pessoas_0_4_anos","pessoas_5_9_anos","pessoas_10_14_anos","pessoas_15_19_anos","pessoas_20_24_anos","pessoas_25_29_anos","pessoas_30_39_anos","pessoas_40_49_anos","pessoas_50_59_anos","pessoas_60_69_anos","pessoas_70_mais_anos"
1100015,21345,10744,10601,1551,1503,1525,1644,1514,1557,3163,3124,2608,1837,1257
1100023,96257,47464,48793,6942,7196,6954,7666,8193,8053,15406,13998,10685,6630,4497
1100031,5335,2696,2639,330,348,411,373,246,306,775,765,748,600,425
1100049,86405,42157,44248,5764,5807,5827,6299,7292,7282,13897,12562,10096,6827,4658
1100056,15802,7781,8021,1164,1147,1063,1142,1044,1275,2507,2225,1901,1293,1039
1100064,15663,7801,7862,982,1054,1046,1086,1036,1088,2240,2345,2090,1484,1205
1100072,7503,3909,3594,518,531,475,528,493,527,1183,1125,1032,671,416
1100080,12543,6462,6081,1033,1065,1088,1178,990,916,1848,1775,1323,790,531
1100098,29306,14709,14597,2118,2095,2076,2240,2255,2154,4714,4354,3391,2260,1616
1100106,38936,19352,19584,3449,3399,3661,3517,3082,2806,5439,5232,4080,2382,1758
1100114,50410,24783,25627,3597,3475,3499,3759,4026,4068,7949,7556,5666,3769,3000
1100122,123868,60766,63102,8807,8997,8775,9462,9612,10139,20254,17922,14114,9332,6338
1100130,30574,15890,14684,2319,2410,2477,2503,2110,2223,4768,4602,3346,2352,1409
1100148,15679,8012,7667,1069,985,1021,1209,1099,1148,2404,2446,1899,1383,1007
1100155,34890,17089,17801,2294,2327,2362,2470,2449,2534,5423,5094,4483,3059,2386
1100189,34834,17361,17473,2486,2459,2517,2658,2820,2745,5447,5085,4047,2783,1751
1100205,457556,223686,233870,32396,35986,35357,35709,38085,38281,77193,66291,49286,31005,17764
1100254,19285,9612,9673,1207,1277,1311,1351,1198,1282,2676,2880,2599,2027,1463
1100262,3469,1847,1622,238,255,257,264,238,239,512,520,460,293,188
1100288,56260,27707,28553,3944,3982,3839,4053,4564,4664,9121,8055,6600,4373,3063
1100296,7419,3732,3687,468,471,524,506,419,466,1026,1129,1111,719,580
1100304,95385,46787,48598,7145,6937,6758,7275,7754,7814,16216,13997,10631,6551,4238
1100320,21573,10971,10602,1691,1557,1517,1640,1678,1732,3372,3206,2500,1598,1067
1100338,25319,12967,12352,2167,2169,2189,2228,2019,1899,3796,3652,2627,1607,930
1100346,13113,6612,6501,868,862,880,942,869,901,1822,1951,1807,1280,924
1100379,11466,5870,5596,870,858,866,883,739,858,1706,1653,1456,907,632
1100403,16320,8342,7978,1228,1189,1263,1296,1289,1173,2373,2381,1966,1253,907
1100452,27885,14111,13774,2135,2150,2178,2358,2184,2117,4355,4105,3002,2041,1258
1100502,7667,3923,3744,495,480,532,539,454,531,1087,1157,1072,776,543
1100601,4150,2138,2012,307,290,324,289,258,287,647,574,516,350,277
1100700,8838,4658,4180,661,666,737,729,620,580,1250,1356,1147,674,417
1100809,22304,11464,10840,1826,1886,1871,1860,1807,1765,3316,3033,2337,1621,954
1100908,3233,1658,1575,198,229,226,205,172,232,431,517,460,298,265
1100924,9284,4711,4573,757,780,817,751,710,772,1523,1343,943,564,311
1100940,14841,7685,7156,1264,1229,1224,1204,1143,1157,2339,2246,1578,912,508
1101005,7957,4057,3900,539,583,564,582,550,533,1143,1187,1036,678,536
1101104,8546,4455,4091,714,739,753,694,655,611,1268,1142,916,660,383
1101203,6466,3283,3183,365,380,473,504,455,405,856,1021,899,592,516
1101302,9235,4669,4566,604,611,608,704,652,650,1301,1437,1163,885,616
1101401,11548,5995,5553,800,807,829,929,824,805,1629,1751,1430,993,745
1101435,6200,3157,3043,390,398,466,485,413,412,902,969,808,549,403
1101450,4113,2157,1956,303,293,303,315,297,273,631,615,551,301,217
1101468,2139,1082,1057,177,167,175,162,127,145,318,316,248,167,100
1101476,3076,1580,1496,203,233,221,189,171,178,456,465,413,318,227
1101484,5258,2694,2564,298,314,358,360,262,313,745,826,780,566,435
1101492,16184,8212,7972,1289,1306,1331,1299,1205,1306,2598,2304,1697,1118,699
1101500,11158,5717,5441,802,850,807,909,839,886,1688,1542,1394,891,541
1101559,4256,2157,2099,261,288,261,312,293,264,559,644,611,399,364
1101609,8113,4189,3924,521,533,604,589,452,465,1088,1305,1140,860,556
1101708,10725,5439,5286,741,713,704,811,738,745,1595,1581,1292,1015,786
1101757,7788,4060,3728,512,595,593,568,469,507,1104,1196,1021,702,493
1101807,6479,3306,3173,381,413,410,472,416,414,856,1035,934,639,509
1200013,14021,7154,6867,1320,1269,1252,1285,1174,1052,2013,1841,1301,903,610
1200054,8017,4096,3921,859,800,861,784,625,614,1159,932,596,403,266
1200104,26000,13112,12888,2293,2320,2253,2259,2376,2122,3940,3412,2466,1459,1093
1200138,12917,6715,6202,1100,1191,1251,1195,1041,937,1701,1788,1267,897,548
1200179,10392,5438,4954,870,925,980,982,840,736,1351,1368,1148,730,450
1200203,91249,45263,45986,7958,8100,8712,9308,9415,7740,13575,11715,6849,4225,3571
1200252,18757,9427,9330,1626,1720,1576,1570,1673,1647,2900,2361,1782,1122,751
1200302,35040,18000,17040,3779,3779,3806,3868,3427,2731,4580,3791,2400,1484,1167
1200328,8855,4581,4274,1215,1244,1201,1079,863,652,1045,725,361,187,123
1200336,19240,9845,9395,1805,1854,2069,1944,1848,1531,2825,2301,1384,913,699
1200344,11970,6307,5663,1223,1270,1262,1271,1136,940,1754,1435,811,521,326
1200351,16986,8905,8081,1949,1960,2111,2166,1733,1331,2259,1585,837,527,351
1200385,16560,8509,8051,1422,1499,1445,1516,1372,1196,2252,2196,1632,1144,876
1200393,10623,5574,5049,1271,1175,1349,1316,1153,790,1315,1073,556,344,211
1200401,362247,174332,187915,26430,29362,28824,30905,32450,30720,59190,51692,35255,22202,15154
1200427,14928,7783,7145,1473,1443,1657,1706,1501,1159,2041,1763,1042,613,509
1200435,6512,3305,3207,999,910,873,686,563,443,805,522,310,127,123
1200450,21015,10601,10414,1715,1827,1843,1873,1732,1546,3009,2813,2174,1399,1084
1200500,40764,20948,19816,3618,3738,3843,4190,3881,3400,6036,5198,3087,2025,1622
1200609,42706,22159,20547,4665,4706,4965,5026,4086,3326,5647,4365,2737,1728,1327
1200708,18232,9404,8828,1598,1624,1614,1755,1548,1549,2640,2312,1657,1114,797
1200807,16693,8673,8020,1440,1523,1498,1613,1389,1167,2231,2171,1655,1171,833
1300029,15802,8202,7600,1937,1796,1768,1802,1606,1310,2084,1471,957,582,444
1300060,10703,5482,5221,1335,1357,1230,1061,984,852,1358,984,692,386,304
1300086,9940,5203,4737,1016,1038,1020,1145,958,833,1395,1117,732,406,258
1300102,17152,8966,8186,1602,1876,1703,1759,1632,1303,2534,2077,1280,835,510
1300144,20611,10868,9743,1600,1992,1766,1739,1738,1584,3589,2763,1867,1271,679
1300201,15152,7804,7348,1877,2064,1820,1669,1343,1213,1909,1326,789,499,355
1300300,40838,21455,19383,4375,4304,4262,4177,3559,3090,5367,4547,3266,2061,1427
1300409,18233,9532,8701,2238,2140,1944,1750,1630,1390,2341,1875,1290,832,533
1300508,30544,15924,14620,3336,3350,3543,3509,2878,2360,3888,3021,2070,1355,1073
1300607,37584,19044,18540,4567,4587,4442,3999,3388,2993,4983,3440,2407,1470,1217
1300631,20508,10678,9830,2502,2405,2341,2453,1974,1594,2578,1935,1262,794,561
1300680,23749,12481,11268,2539,2464,2379,2368,2370,2014,3258,2582,1548,1070,1139
1300706,35035,18162,16873,3024,3153,3259,3531,3222,2894,5102,4359,3001,1959,1415
1300805,32470,17041,15429,3499,3224,3444,3583,2944,2618,4419,3457,2246,1538,1215
1300839,13447,6998,6449,1308,1289,1396,1508,1384,1170,1864,1513,968,639,403
1300904,16723,8952,7771,1337,1604,1549,1626,1484,1363,2406,2070,1687,1005,564
1301001,28701,14721,13980,2906,3082,2989,3199,2767,2523,4045,3012,1995,1203,930
1301100,30693,15951,14742,2675,2999,3134,2876,2294,2130,3979,3842,2940,2327,1416
1301159,19554,10247,9307,1689,1798,1789,1855,1469,1398,2543,2543,2120,1328,907
1301209,70413,35771,34642,7237,7251,7383,7666,6768,5650,9683,8262,4800,3219,2296
1301308,23544,12216,11328,2463,2391,2429,2626,2173,1845,3351,2638,1688,1136,793
1301407,32883,16635,16248,3431,3639,3701,3798,2947,2606,4428,3639,2139,1365,1080
1301506,17099,8743,8356,1920,1922,1717,1876,1725,1451,2346,1891,1129,621,468
1301605,25643,13222,12421,2926,2766,2698,2771,2586,2140,3510,2659,1674,998,758
1301654,13815,7110,6705,1330,1425,1516,1554,1417,1135,1921,1463,1004,606,434
1301704,57327,29415,27912,5435,5702,5081,5437,5702,5090,8986,6628,4312,2810,2016
1301803,24219,12357,11862,3050,2827,2486,2604,2732,2081,3456,2348,1346,790,475
1301852,61133,31349,29784,5578,5531,5622,5660,5167,4751,8796,8002,5707,3944,2300
1301902,103421,52780,50641,8978,9597,10101,10500,9480,8067,14711,13371,8714,5849,3906
1301951,10917,5647,5270,1343,1440,1215,1268,1101,931,1393,1008,581,325,262
1302009,10162,5222,4940,939,984,1061,1006,899,768,1429,1255,837,565,396
1302108,8801,4656,4145,1216,1082,945,916,954,774,1109,791,516,259,153
1302207,10672,5525,5147,1136,1176,1081,1238,1150,937,1457,1112,631,376,284
1302306,24981,12857,12124,3270,3281,3151,2924,2396,1926,3127,2189,1284,702,575
1302405,45076,23515,21561,4794,4232,4370,4728,4533,3842,6627,5047,3195,1955,1362
1302504,101826,51944,49882,9614,9849,9744,10551,9509,8194,14829,12161,8082,5389,3807
1302553,16791,8709,8082,1587,1653,1622,1558,1319,1238,2184,2094,1575,1087,764
1302603,2060744,996198,1064546,153545,169103,162653,170431,186009,180134,335468,302331,200941,124153,75628
1302702,53522,27381,26141,5964,5374,4978,5393,5202,4555,7660,5867,3773,2504,1934
1302801,15409,8045,7364,2034,1884,1756,1859,1554,1272,1943,1387,834,544,295
1302900,60994,31918,29076,7235,7040,6669,6555,5353,4469,7964,6232,4012,3111,2129
1303007,20004,10315,9689,2043,2178,1771,1967,1670,1624,2954,2235,1607,1081,847
1303106,27000,14001,12999,3041,3028,2895,2936,2454,2146,3493,2768,1902,1346,922
1303205,15547,7939,7608,1560,1713,1651,1533,1184,1196,2221,1721,1222,800,576
1303304,23761,12347,11414,2396,2266,2308,2553,2358,2050,3286,2616,1836,1144,875
1303403,96323,48680,47643,8765,8999,9235,10242,9389,7842,13432,11227,7664,5382,4067
1303502,18935,10056,8877,2041,2145,2031,2175,2102,1531,2557,1895,1091,651,512
1303536,30517,15457,15060,2666,2854,2946,2906,2489,2263,4217,4018,2992,1986,1047
1303569,24881,12831,12050,2263,2341,2374,2213,1998,1788,3314,3157,2569,1805,1021
1501006,18156,9519,8637,1907,1915,1745,1742,1510,1433,2435,1929,1519,1140,796
1303601,13896,7133,6763,1824,1727,1598,1432,1192,1033,1814,1278,859,494,468
1303700,27769,14163,13606,3778,3521,3259,3105,2781,2115,3548,2357,1465,893,773
1303809,49591,25234,24357,6133,5776,5377,5201,4537,3838,6295,4659,3157,2064,1623
1303908,32739,16831,15908,4463,4478,3925,3547,3066,2440,3989,2939,1742,1066,969
1303957,11660,6173,5487,1204,1386,1055,1107,1093,1026,1767,1305,755,549,387
1304005,11535,6043,5492,1164,1329,1308,1116,1009,870,1530,1238,878,678,408
1304062,66589,33199,33390,7708,8024,7272,7096,6477,5244,9031,6608,4451,2665,1864
1304104,19267,10059,9208,2021,1958,1987,2034,1853,1565,2936,2097,1239,841,551
1304203,73597,37672,35925,8304,7626,7512,8318,7365,6096,10253,8001,4764,2955,2284
1304237,19038,9836,9202,2603,2302,2146,2101,1874,1592,2564,1697,965,594,498
1304260,14361,7601,6760,1680,1472,1683,1763,1464,1165,1967,1455,826,487,339
1304302,18568,9748,8820,1635,1699,1818,1823,1652,1453,2721,2283,1554,1164,756
1304401,23945,12124,11821,1950,2320,2084,2406,2439,2285,3773,2797,1779,1305,791
1400027,13390,7008,6380,1971,1750,1566,1408,1070,856,1512,1184,915,605,284
1400050,20076,10476,9600,2928,2523,2292,2038,1653,1287,2144,1933,1401,861,584
1400100,404642,198488,206154,36213,36168,33616,34644,39133,38121,67759,53517,33944,19789,11679
1400159,13912,7230,6682,1821,1765,1574,1443,1149,948,1653,1339,1034,685,463
1400175,18681,9958,8721,2059,2034,1959,1661,1328,1261,2375,2124,1799,1308,737
1400209,20834,10859,9975,2161,2226,2036,1904,1656,1424,2794,2521,1934,1274,778
1400233,10556,5638,4918,1109,1006,1037,971,882,855,1562,1352,868,550,334
1400282,9573,5072,4501,1003,938,921,895,838,677,1274,1103,862,602,332
1400308,17979,9255,8724,1791,1793,1775,1654,1412,1297,2471,2139,1743,1087,759
1400407,13784,7104,6680,2170,2129,1865,1496,1119,918,1501,1074,632,359,263
1400456,17885,9107,8778,2366,2346,2053,1756,1529,1422,2333,1758,1144,655,367
1400472,32468,16760,15708,3166,3227,2937,2816,2841,2701,5040,3915,2790,1821,1096
1400506,8852,4733,4119,905,803,823,801,776,731,1412,1107,735,432,323
1400605,7313,3890,3423,662,682,611,645,551,603,1240,892,644,472,308
1400704,13343,6842,6501,2467,2219,1871,1452,1023,857,1381,842,541,266,175
1500107,157847,78978,78869,12337,12572,12980,13908,14646,14524,26004,20861,13976,9002,6957
1500131,6136,3113,3023,512,506,551,524,460,436,901,820,654,411,361
1500206,59007,30541,28466,5020,5223,5799,5945,5062,4645,8897,7108,5171,3188,2789
1500305,37765,19708,18057,4092,4208,4111,3954,3674,3217,5114,3986,2561,1647,1197
1500347,18074,9693,8381,1622,1685,1568,1466,1541,1433,3116,2536,1429,1003,631
1500404,69368,35683,33685,6681,7324,6984,7173,6082,5336,10285,7937,5135,3622,2791
1500503,34210,17603,16607,3411,3424,3479,3369,2977,2755,4914,4069,2732,1788,1188
1500602,126069,62819,63250,10381,11278,10414,10710,11001,10900,20829,17204,11464,6890,4596
1500701,28011,14508,13503,3294,3202,3212,3308,2772,2361,3833,2745,1573,968,735
1500800,477950,226886,251064,28882,32482,33602,36636,39431,39218,80049,75336,54386,35605,22246
1500859,31801,16579,15222,3089,3219,3193,3164,2849,2603,4912,3778,2482,1554,865
1500909,44532,22773,21759,3712,4274,4777,4589,3860,3532,6547,5118,3602,2544,1928
1500958,23711,12043,11668,2043,2159,2478,2292,2039,1877,3489,2897,2059,1318,1045
1501105,31888,16251,15637,4033,4439,3717,3878,3201,2654,4150,2658,1530,958,655
1501204,51612,25903,25709,3682,4409,4046,4813,5382,4458,8517,6662,4660,2791,2101
1501253,4029,2163,1866,338,335,354,360,335,299,617,567,389,269,164
1501303,126650,63394,63256,10125,10678,11013,11496,11256,10963,21594,17319,11131,6768,4261
1501402,1302845,610402,692443,70582,79947,84459,93518,104043,99979,200380,201962,162557,115905,89382
1501451,18025,9124,8901,1546,1617,1605,1823,1532,1260,2376,2329,1612,1255,1021
1501501,63547,31242,32305,4539,5171,4979,5342,5274,5188,10484,9275,6383,4097,2695
1501576,17932,9936,7996,1330,1354,1311,1373,1446,1647,3156,2437,1682,1378,751
1501600,12622,6477,6145,931,940,1039,1193,1062,1024,2093,1698,1223,812,594
1501709,122956,61455,61501,9361,10137,11053,11716,10361,9872,19505,16256,11104,7632,5901
1501725,24694,12623,12071,1856,2150,2055,2211,2128,1874,3924,3388,2444,1579,1044
1501758,6775,3435,3340,550,557,643,638,495,476,952,915,654,489,392
1501782,45708,23099,22609,3980,4279,4324,4455,4013,3395,6795,5556,4089,2805,1997
1501808,106832,55143,51689,12219,11580,11510,11593,10959,8802,14371,10819,6757,4570,3637
1501907,24368,12349,12019,2109,2179,2343,2546,2061,1963,3453,2993,2148,1338,1181
1501956,19630,10351,9279,1803,1806,2006,2203,1757,1511,2996,2274,1633,1002,623
1502004,23977,12124,11853,1962,2193,2226,2156,2152,2098,3829,2867,2023,1407,1057
1502103,133847,68592,65255,11286,11474,12711,13487,13090,11638,20913,15816,10184,6986,6144
1502152,77058,39376,37682,7103,7155,6673,6521,7163,7591,15704,10196,5033,2460,1439
1502202,70317,34278,36039,4608,5116,5435,5828,5833,5777,11515,10127,7272,4920,3868
1502301,56483,28658,27825,4299,4365,4848,5198,4892,4907,9176,7421,5452,3265,2640
1502400,191986,92274,99712,13291,14000,14835,16049,16877,16036,32480,27856,19497,12305,8659
1502509,20735,11104,9631,2313,2288,2317,2236,1899,1630,2865,2175,1407,917,677
1502608,12861,6444,6417,928,1070,1131,1172,945,934,1938,1617,1347,934,828
1502707,44617,22490,22127,3226,3358,3576,3678,3571,3340,6023,6218,5053,3655,2913
1502756,26829,13531,13298,2291,2484,2535,2770,2343,2122,4267,3234,2159,1295,1173
1502764,13990,7685,6305,1438,1331,1314,1201,1312,1243,2192,1753,1258,638,295
1502772,19950,10196,9754,1762,1796,1800,1817,1679,1594,3025,2365,1678,1437,973
1502806,33833,17821,16012,3580,3579,3745,3871,3528,2895,4862,3439,2015,1223,1053
1502855,14117,7338,6779,1310,1304,1417,1557,1217,1105,2108,1665,1130,759,540
1502905,41245,20738,20507,2648,3130,3356,3973,3285,3110,6381,5604,4155,3039,2556
1502939,58484,28907,29577,4555,5468,5367,5680,5845,4183,10066,7898,4519,3013,1882
1502954,28192,14443,13749,2466,2545,2705,2823,2289,2020,4144,3439,2720,1793,1245
1503002,8713,4474,4239,819,762,831,984,794,726,1223,1012,697,492,362
1503044,17898,9498,8400,1464,1468,1526,1604,1463,1475,2740,2472,1786,1101,794
1503077,24703,12694,12009,1968,2093,2271,2599,2140,2013,3826,3113,2221,1340,1092
1503093,26331,13505,12826,2216,2278,2380,2479,2120,1812,4118,3744,2515,1621,1029
1503101,31743,16684,15059,3347,3305,3382,3650,3279,2739,4382,3239,2007,1279,1071
1503200,35797,17767,18030,2464,2736,2855,3048,2950,2934,5572,4835,3674,2628,2099
1503309,64831,33274,31557,5045,5776,6253,6355,5592,5663,10370,8256,5300,3461,2747
1503408,10325,5229,5096,844,857,905,915,870,831,1630,1287,940,707,533
1503457,30325,15634,14691,2929,3017,3059,3093,2576,2286,4521,3563,2461,1681,1104
1503507,30946,15905,15041,2320,2419,2879,2920,2428,2313,4564,4107,2984,2042,1881
1503606,122916,61915,61001,10861,10883,10054,10764,11764,11427,19898,15095,10791,7023,4239
1503705,49754,26048,23706,4004,4356,4804,4900,4376,3704,7785,6560,4284,2846,2092
1503754,23250,12151,11099,3196,2967,2509,2580,2231,1808,2905,2159,1417,740,394
1503804,37707,18504,19203,2893,3148,3447,3526,2822,2660,5720,5364,3638,2528,1940
1503903,50881,26154,24727,5150,5294,5522,5512,4518,4030,7501,5721,3465,2329,1805
1504000,29569,15291,14278,2816,2671,2804,3062,3230,2567,4654,3388,2176,1265,930
1504059,34353,16887,17466,2576,2902,2878,3271,3136,2898,5422,4609,3043,1972,1646
1504109,8102,4142,3960,547,644,759,694,558,560,1161,1092,816,685,559
1504208,265836,132141,133695,21397,22668,22983,24454,23922,22489,45509,35582,23077,14466,9157
1504307,25971,13292,12679,1798,1913,2262,2447,2036,1978,3743,3396,2614,1938,1803
1504406,26560,13639,12921,1725,2048,2108,2085,1916,1921,4019,3806,2799,2212,1858
1504422,110685,53624,57061,7678,8697,8636,9497,9679,9419,18824,16536,11256,6423,3929
1504455,27094,14325,12769,2365,2314,2466,2423,2296,2062,4163,3675,2594,1644,1081
1504505,27881,14568,13313,3655,3519,3571,3516,2850,2198,3425,2357,1338,823,629
1504604,27025,13682,13343,2132,2331,2440,2908,2677,2380,4006,3184,2205,1387,1325
1504703,84028,43847,40181,7483,7860,7920,8477,7653,7353,13339,10347,6757,3903,2824
1504752,23501,12231,11270,1931,1939,2019,2151,1894,1763,3455,3069,2427,1625,1211
1504802,59995,30344,29651,4821,5165,5146,5761,5003,4778,8498,7924,5608,4069,3202
1504901,45368,22997,22371,4000,4307,4333,4555,4454,3767,7171,5472,3372,2286,1647
1504950,20475,10514,9961,1945,1942,2116,2146,1762,1726,3152,2528,1608,912,630
1504976,13955,7294,6661,1129,1172,1159,1273,1078,966,2059,1922,1421,1011,758
1505007,12806,6503,6303,730,845,975,1026,895,866,2011,1898,1478,1112,969
1505031,33615,17475,16140,3068,3013,2767,2864,2916,2995,5678,4417,3178,1857,831
1505064,60678,31279,29399,5420,5489,5945,6027,5274,4885,9212,7534,5137,3343,2330
1505106,52004,26632,25372,4690,4699,5103,5252,4239,3786,7188,6648,4503,3068,2669
1505205,33801,17620,16181,3394,3462,3805,3691,3324,2771,4801,3676,2279,1357,1152
1505304,67868,34231,33637,6753,6335,6802,7085,5960,5080,9511,8324,5359,3525,2839
1505403,17845,9042,8803,1278,1416,1560,1639,1447,1368,2801,2394,1753,1187,977
1505437,32447,16531,15916,2944,3067,2996,2906,2601,2676,5440,4178,2866,1666,1079
1505486,41091,21628,19463,3848,3856,3901,3821,3572,3333,6405,5145,3480,2180,1511
1505494,6885,3538,3347,564,583,606,655,518,482,1000,897,677,479,424
1505502,105044,52020,53024,8616,8769,9347,10026,9541,8913,18106,14191,8894,5276,3224
1505536,267812,133910,133902,23674,23626,23352,23542,24245,24554,53572,37086,19263,9634,5134
1505551,6906,3546,3360,571,582,616,546,501,501,993,911,750,541,380
1505601,8285,4202,4083,492,562,653,696,588,528,1259,1247,908,761,563
1505635,12832,6734,6098,1151,1099,1140,1124,1067,942,1938,1776,1265,754,576
1505650,18660,9849,8811,1635,1613,1644,1814,1530,1461,2925,2339,1821,1120,731
1505700,24907,12805,12102,1987,2063,2345,2537,2146,2016,3919,3138,2214,1457,1043
1505809,62492,32620,29872,7266,6804,7110,7440,6525,5401,8172,6254,3428,2287,1777
1505908,40587,21113,19474,4135,4349,4072,4556,4178,3440,6317,4553,2578,1348,1035
1506005,35542,18452,17090,3495,3480,3620,3700,3360,3077,5143,4102,2660,1699,1181
1506104,10851,5482,5369,795,841,869,944,788,804,1638,1521,1092,789,760
1506112,11524,5848,5675,847,882,972,1038,876,766,1639,1617,1251,916,712
1506138,85380,42016,43364,6915,7063,6873,7114,7420,7433,13979,11809,8316,5026,3394
1506161,18378,9319,9059,1344,1381,1411,1584,1459,1454,2741,2625,2043,1294,1026
1506187,53143,27356,25787,3040,3319,3806,4609,4945,4423,9769,7297,5781,4037,2109
1506195,35769,18371,17398,2895,3855,3425,3273,3273,2521,5482,4250,2967,2236,1572
1506203,44689,22500,22189,3265,3377,3560,3913,3912,3613,7405,6298,4322,2843,2166
1506302,24091,12029,12062,1879,1951,2074,2092,2002,2038,3826,3128,2312,1526,1183
1506351,21087,10485,10602,1515,1672,1874,1786,1647,1522,3298,3027,2278,1387,1071
1506401,7438,3885,3553,530,605,602,988,717,587,1119,911,662,413,296
1506500,66989,33617,33372,5020,5187,5108,5486,5827,5745,11182,9619,6581,4139,3068
1506559,20326,10213,10113,1526,1602,1807,2029,1730,1554,3085,2626,1878,1277,1072
1506583,16498,8743,7755,1370,1380,1436,1465,1174,1188,2377,2255,1881,1180,720
1506609,24624,12147,12477,1781,1712,1844,2058,1974,2026,3867,3497,2779,1764,1304
1506708,32403,16664,15739,2968,2840,2888,2814,2701,2557,4898,4341,3074,2071,1233
1506807,330355,161830,168525,26325,28186,28955,30515,29774,28087,50782,42646,29535,20173,15031
1506906,6116,3205,2911,455,459,482,560,477,466,922,852,616,419,406
1507003,27461,13760,13701,2042,2232,2346,2348,2079,2138,4221,3872,2699,1988,1496
1507102,16606,8441,8165,1148,1249,1347,1417,1220,1265,2566,2273,1734,1341,1012
1507151,21082,10712,10370,1715,1735,1927,2066,1739,1546,3099,2757,1946,1325,1214
1507201,30589,16009,14580,2491,2840,3367,3408,2639,2356,4176,3697,2509,1589,1502
1507300,65251,34733,30518,5452,5557,5705,5694,5761,5125,11122,8846,6387,3450,1861
1507409,14894,7546,7348,1046,1056,1218,1258,1155,1038,2288,2058,1627,1222,927
1507458,24255,12242,12013,2145,2122,2152,2071,2057,1898,3605,3204,2262,1501,1209
1507466,4430,2287,2143,342,343,406,375,309,294,609,565,464,406,311
1507474,20689,10658,10031,1550,1626,1808,1851,1531,1550,3113,2800,1991,1542,1323
1507508,13664,7290,6374,1160,1242,1293,1259,941,965,1884,1742,1407,1081,683
1507607,52878,26173,26705,4293,4498,4721,5154,4602,4234,8164,6925,4660,2983,2575
1507706,25643,13329,12314,2414,2414,2603,2601,2437,2313,4065,2852,1844,1176,918
1507755,5847,2968,2879,477,544,555,531,544,515,862,753,539,322,202
1507805,22452,12119,10333,2149,2202,2348,2175,1890,1677,3399,2988,1908,1114,526
